"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"STRAVVS.nlogo"
"system2"
"09/14/2026 14:09:40:205 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-file","input-file?","[step]","table:get things-ordered ""A""","table:get things-ordered ""B""","table:get things-ordered ""C""","table:get things-ordered ""D""","table:get things-ordered ""E""","table:get things-ordered ""F""","table:get things-made ""A""","table:get things-made ""B""","table:get things-made ""C""","table:get things-made ""D""","table:get things-made ""E""","table:get things-made ""F""","table:get things-delivered ""A""","table:get things-delivered ""B""","table:get things-delivered ""C""","table:get things-delivered ""D""","table:get things-delivered ""E""","table:get things-delivered ""F""","table:get things-imported ""A""","table:get things-imported ""B""","table:get things-imported ""C""","table:get things-imported ""D""","table:get things-imported ""E""","table:get things-imported ""F""","table:get things-consumed ""A""","table:get things-consumed ""B""","table:get things-consumed ""C""","table:get things-consumed ""D""","table:get things-consumed ""E""","table:get things-consumed ""F""","table:get things-run ""Process1""","table:get things-run ""Process2"""
"3","system2/inits.txt","true","2","12","6","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","3","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","12","6","3","8","<WrappedExtensionException>","<WrappedExtensionException>","12","6","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>"
"5","system2/inits.txt","true","2","12","6","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","2","12","6","4","8","<WrappedExtensionException>","2","12","6","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","2","3","2"
"4","system2/inits.txt","true","2","10","5","5","6","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","1","10","5","2","6","<WrappedExtensionException>","1","10","5","<WrappedExtensionException>","6","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","1","1","2"
"5","system2/inits.txt","true","3","16","8","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","10","<WrappedExtensionException>","<WrappedExtensionException>","4","16","8","10","8","<WrappedExtensionException>","4","16","8","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","4","7","3"
"8","system2/inits.txt","true","2","8","4","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","3","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","8","4","4","8","<WrappedExtensionException>","<WrappedExtensionException>","8","4","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","3","3"
"2","system2/inits.txt","true","3","8","4","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","5","<WrappedExtensionException>","<WrappedExtensionException>","2","8","4","5","8","<WrappedExtensionException>","2","8","4","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","2","4","6"
"7","system2/inits.txt","true","3","22","11","7","10","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","22","11","8","10","<WrappedExtensionException>","<WrappedExtensionException>","22","11","<WrappedExtensionException>","10","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","5","<WrappedExtensionException>"
"4","system2/inits.txt","true","3","16","8","6","8","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","12","<WrappedExtensionException>","<WrappedExtensionException>","2","16","8","12","8","<WrappedExtensionException>","2","16","8","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","4","<WrappedExtensionException>","<WrappedExtensionException>","2","7","5"
"9","system2/inits.txt","true","3","12","6","8","12","2","2","<WrappedExtensionException>","<WrappedExtensionException>","8","<WrappedExtensionException>","<WrappedExtensionException>","4","12","6","8","12","2","4","12","6","<WrappedExtensionException>","12","2","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","4","5","4"
"7","system2/inits.txt","true","4","18","9","9","14","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","14","<WrappedExtensionException>","<WrappedExtensionException>","5","18","9","14","14","<WrappedExtensionException>","5","18","9","<WrappedExtensionException>","14","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","<WrappedExtensionException>","2","<WrappedExtensionException>","<WrappedExtensionException>","5","12","4"
